Settore,Numero_Aziende,Percentuale_Totale,Comune
Altro,17,4.0,Offagna
Industrie,60,25.4,Maleo
Servizi,48,10.2,Maleo
Amministrazione,15,11.8,Maleo
Altro,55,18.6,Maleo
Industrie,196,59.8,Orta Nova
Servizi,404,93.2,Orta Nova
Amministrazione,58,54.6,Orta Nova
Altro,230,63.5,Orta Nova
Industrie,20,4.8,Rivodutri
Servizi,20,4.0,Rivodutri
Amministrazione,16,4.0,Rivodutri
Altro,21,5.7,Rivodutri
Industrie,100,64.2,Primaluna
Servizi,29,8.6,Primaluna
Amministrazione,20,3.4,Primaluna
Altro,35,8.9,Primaluna
Industrie,169,79.7,Premana
Servizi,43,8.3,Premana
Amministrazione,11,4.7,Premana
Altro,29,8.3,Premana
Industrie,2,0.6,Castelmola
Servizi,36,5.7,Castelmola
Amministrazione,5,3.9,Castelmola
Altro,39,9.1,Castelmola
Industrie,467,0.2246999999999999,Vaiano
Servizi,175,37.5,Vaiano
Amministrazione,53,29.6,Vaiano
Altro,182,54.7,Vaiano
Industrie,17,4.9,Sadali
Servizi,23,3.8,Sadali
Amministrazione,12,4.8,Sadali
Altro,18,4.0,Sadali
Industrie,29,6.8,Lotzorai
Servizi,40,8.0,Lotzorai
Amministrazione,10,4.6,Lotzorai
Altro,46,12.6,Lotzorai
Industrie,63,35.3,Calco
Servizi,70,21.1,Calco
Amministrazione,13,7.5,Calco
Altro,105,30.0,Calco
Industrie,52,34.9,Porto Empedocle
Servizi,281,64.4,Porto Empedocle
Amministrazione,64,74.1,Porto Empedocle
Altro,285,83.8,Porto Empedocle
Industrie,67,26.0,Catenanuova
Servizi,91,13.1,Catenanuova
Amministrazione,12,22.4,Catenanuova
Altro,71,17.3,Catenanuova
Industrie,43,10.0,Mirabella Imbaccari
Servizi,113,16.6,Mirabella Imbaccari
Amministrazione,17,20.7,Mirabella Imbaccari
Altro,98,23.3,Mirabella Imbaccari
Industrie,88,23.3,Sant'Angelo di Brolo
Servizi,83,12.4,Sant'Angelo di Brolo
Amministrazione,30,31.5,Sant'Angelo di Brolo
Altro,86,19.8,Sant'Angelo di Brolo
Industrie,65,29.1,Castel Viscardo
Servizi,55,9.4,Castel Viscardo
Amministrazione,19,6.5,Castel Viscardo
Altro,52,18.9,Castel Viscardo
Industrie,6,2.1,Erve
Servizi,5,1.2,Erve
Amministrazione,7,3.2,Erve
Altro,21,5.7,Erve
Industrie,173,59.8,Brusciano
Servizi,188,34.2,Brusciano
Amministrazione,34,41.5,Brusciano
Altro,120,33.4,Brusciano
Industrie,15,5.1,Cropalati
Servizi,29,4.6,Cropalati
Amministrazione,7,5.3,Cropalati
Altro,8,1.8,Cropalati
Industrie,1327,0.7517,Campi Bisenzio
Servizi,909,0.3393,Campi Bisenzio
Amministrazione,123,62.8,Campi Bisenzio
Altro,851,0.4386,Campi Bisenzio
Industrie,9,2.8,San Martino di Finita
Servizi,12,2.2,San Martino di Finita
Amministrazione,7,3.4,San Martino di Finita
Altro,12,3.8,San Martino di Finita
Industrie,1,0.3,Tinnura
Servizi,2,0.4,Tinnura
Amministrazione,4,0.9,Tinnura
Altro,4,2.5,Tinnura
Industrie,9,2.2,Sini
Servizi,10,2.2,Sini
Amministrazione,10,2.8,Sini
Altro,13,4.7,Sini
Industrie,65,54.5,Controguerra
Servizi,41,9.3,Controguerra
Amministrazione,8,1.5,Controguerra
Altro,51,17.1,Controguerra
Industrie,10,3.5,Bieno
Servizi,4,0.8,Bieno
Amministrazione,8,0.7,Bieno
Altro,9,2.3,Bieno
Industrie,188,0.2234,Colonnella
Servizi,62,63.3,Colonnella
Amministrazione,10,2.2,Colonnella
Altro,62,20.1,Colonnella
Industrie,228,0.1076999999999999,Pelago
Servizi,128,31.2,Pelago
Amministrazione,36,13.5,Pelago
Altro,146,52.1,Pelago
Industrie,393,0.161,Ariano Irpino
Servizi,538,0.1431,Ariano Irpino
Amministrazione,120,0.1268999999999999,Ariano Irpino
Altro,353,0.1316,Ariano Irpino
Industrie,28,9.8,Lisciano Niccone
Servizi,11,2.0,Lisciano Niccone
Amministrazione,5,1.4,Lisciano Niccone
Altro,15,5.3,Lisciano Niccone
Industrie,98,51.3,Giano dell'Umbria
Servizi,82,21.0,Giano dell'Umbria
Amministrazione,27,19.2,Giano dell'Umbria
Altro,96,36.5,Giano dell'Umbria
Industrie,212,74.3,Valenzano
Servizi,406,59.1,Valenzano
Amministrazione,23,69.9,Valenzano
Altro,221,85.3,Valenzano
Industrie,18,6.4,Monte Castello di Vibio
Servizi,32,5.8,Monte Castello di Vibio
Amministrazione,13,3.3,Monte Castello di Vibio
Altro,37,9.4,Monte Castello di Vibio
Industrie,12,4.7,Bannio Anzino
Servizi,16,3.5,Bannio Anzino
Amministrazione,8,4.6,Bannio Anzino
Altro,23,8.3,Bannio Anzino
Industrie,34,20.1,Pinzano al Tagliamento
Servizi,21,4.4,Pinzano al Tagliamento
Amministrazione,18,15.7,Pinzano al Tagliamento
Altro,32,9.6,Pinzano al Tagliamento
Industrie,20,8.9,Magherno
Servizi,30,5.8,Magherno
Amministrazione,8,2.9,Magherno
Altro,36,10.4,Magherno
Industrie,207,78.7,Luni
Servizi,157,37.0,Luni
Amministrazione,16,16.1,Luni
Altro,114,32.1,Luni
Industrie,39,8.5,Scandale
Servizi,56,7.1,Scandale
