date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2016-06-18,SouthAfrica,Lesotho,Africa,Africa,68,155,529,184,1,1,COSAFACup,Windhoek,Namibia,True,Yes,Win,78.0,nan,73.8,71.7,76.0,nan,nan,nan
2016-06-19,CongoDR,Mozambique,Africa,Africa,52,97,589,348,1,0,COSAFACup,Windhoek,Namibia,True,No,Win,68.0,63.0,73.2,75.3,74.0,nan,nan,nan
2016-06-19,France,Switzerland,Europe,Europe,17,15,924,947,0,0,UEFAEuro,"Villeneuve-dAscq",France,False,No,Draw,85.0,82.0,82.8,84.3,85.0,80.0,78.0,79.0
2016-06-19,Romania,Albania,Europe,Europe,22,42,878,666,0,1,UEFAEuro,Lyon,France,True,No,Lose,76.0,73.0,76.5,72.0,74.8,70.8,69.7,72.0
2016-06-19,Zambia,Eswatini,Africa,Africa,79,117,436,301,0,0,COSAFACup,Windhoek,Namibia,True,Yes,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-20,Russia,Wales,Europe,Europe,29,26,828,846,0,3,UEFAEuro,Toulouse,France,True,No,Lose,81.0,73.0,78.8,76.0,79.8,76.5,75.0,76.2
2016-06-20,Slovakia,England,Europe,Europe,24,11,851,1069,0,0,UEFAEuro,Saint-Étienne,France,True,No,Draw,72.0,84.0,77.0,69.3,76.0,83.0,81.0,83.2
2016-06-21,Croatia,Spain,Europe,Europe,27,6,842,1266,2,1,UEFAEuro,Bordeaux,France,True,No,Win,81.0,86.0,78.8,78.3,81.5,84.5,83.3,87.2
2016-06-21,CzechRepublic,Turkey,Europe,Europe,30,18,815,918,0,2,UEFAEuro,Lens,France,True,No,Lose,85.0,80.0,75.5,73.7,76.2,78.2,77.3,81.0
2016-06-21,Lesotho,Zambia,Africa,Africa,155,79,184,436,2,3,COSAFACup,Windhoek,Namibia,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-21,Namibia,Mozambique,Africa,Africa,135,97,263,348,3,0,COSAFACup,Windhoek,Namibia,False,No,Win,nan,63.0,nan,nan,nan,nan,nan,nan
2016-06-21,NorthernIreland,Germany,Europe,Europe,25,4,851,1310,0,1,UEFAEuro,Paris,France,True,No,Lose,68.0,90.0,74.2,67.7,72.2,84.8,81.7,86.8
2016-06-21,Ukraine,Poland,Europe,Europe,19,27,894,842,0,1,UEFAEuro,Marseille,France,True,No,Lose,79.0,79.0,76.5,72.3,74.8,78.2,79.0,79.0
2016-06-21,USA,Argentina,NorthAmerica,SouthAmerica,31,1,802,1503,0,4,CopaAmérica,Houston,USA,False,No,Lose,80.0,79.0,76.2,75.7,76.8,82.5,88.7,84.0
2016-06-22,Botswana,CongoDR,Africa,Africa,87,52,390,589,0,0,COSAFACup,Windhoek,Namibia,True,Yes,Win,nan,68.0,nan,nan,nan,73.2,75.3,74.0
2016-06-22,Colombia,Chile,SouthAmerica,SouthAmerica,3,5,1328,1293,0,2,CopaAmérica,Chicago,USA,True,No,Lose,78.0,83.0,76.8,83.0,80.5,76.5,79.7,80.5
2016-06-22,Hungary,Portugal,Europe,Europe,20,8,885,1181,3,3,UEFAEuro,Lyon,France,True,No,Draw,73.0,81.0,68.5,72.3,75.2,81.2,84.7,81.8
2016-06-22,Iceland,Austria,Europe,Europe,34,10,751,1077,2,1,UEFAEuro,Saint-Denis,France,True,No,Win,65.0,72.0,70.0,73.0,74.2,80.2,72.3,77.5
2016-06-22,Italy,RepublicofIreland,Europe,Europe,12,33,982,768,0,1,UEFAEuro,"Villeneuve-dAscq",France,True,No,Lose,84.0,75.0,83.8,81.7,83.8,76.8,76.0,77.0
2016-06-22,NewCaledonia,Malaysia,Oceania,Asia,183,173,73,116,1,2,Friendly,Nouméa,NewCaledonia,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-22,SouthAfrica,Eswatini,Africa,Africa,68,117,529,301,5,1,COSAFACup,Windhoek,Namibia,True,No,Win,78.0,nan,73.8,71.7,76.0,nan,nan,nan
2016-06-22,Sweden,Belgium,Europe,Europe,35,2,735,1383,0,1,UEFAEuro,Nice,France,True,No,Lose,73.0,86.0,77.0,80.7,76.8,82.0,81.3,84.8
2016-06-24,Namibia,Zambia,Africa,Africa,135,79,263,436,1,0,COSAFACup,Windhoek,Namibia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-25,Croatia,Portugal,Europe,Europe,27,8,842,1181,0,1,UEFAEuro,Lens,France,True,No,Lose,81.0,81.0,78.8,78.3,81.5,81.2,84.7,81.8
2016-06-25,SouthAfrica,Botswana,Africa,Africa,68,87,529,390,3,2,COSAFACup,Windhoek,Namibia,True,No,Win,78.0,nan,73.8,71.7,76.0,nan,nan,nan
2016-06-25,Eswatini,CongoDR,Africa,Africa,117,52,301,589,1,0,COSAFACup,Windhoek,Namibia,True,No,Win,nan,68.0,nan,nan,nan,73.2,75.3,74.0
2016-06-25,Switzerland,Poland,Europe,Europe,15,27,947,842,1,1,UEFAEuro,Saint-Étienne,France,True,Yes,Lose,82.0,79.0,80.0,78.0,79.0,78.2,79.0,79.0
2016-06-25,USA,Colombia,NorthAmerica,SouthAmerica,31,3,802,1328,0,1,CopaAmérica,Glendale,USA,False,No,Lose,80.0,78.0,76.2,75.7,76.8,76.8,83.0,80.5
2016-06-25,Wales,NorthernIreland,Europe,Europe,26,25,846,851,1,0,UEFAEuro,Paris,France,True,No,Win,73.0,68.0,76.5,75.0,76.2,74.2,67.7,72.2
2016-06-26,Argentina,Chile,SouthAmerica,SouthAmerica,1,5,1503,1293,0,0,CopaAmérica,EastRutherford,USA,True,Yes,Lose,79.0,83.0,82.5,88.7,84.0,76.5,79.7,80.5
2016-06-26,Fiji,Malaysia,Oceania,Asia,186,173,68,116,1,1,Friendly,Nadi,Fiji,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-26,France,RepublicofIreland,Europe,Europe,17,33,924,768,2,1,UEFAEuro,Lyon,France,False,No,Win,85.0,75.0,82.8,84.3,85.0,76.8,76.0,77.0
2016-06-26,Germany,Slovakia,Europe,Europe,4,24,1310,851,3,0,UEFAEuro,"Villeneuve-dAscq",France,True,No,Win,90.0,72.0,84.8,81.7,86.8,77.0,69.3,76.0
2016-06-26,Hungary,Belgium,Europe,Europe,20,2,885,1383,0,4,UEFAEuro,Toulouse,France,True,No,Lose,73.0,86.0,68.5,72.3,75.2,82.0,81.3,84.8
2016-06-27,England,Iceland,Europe,Europe,11,34,1069,751,1,2,UEFAEuro,Nice,France,True,No,Lose,84.0,65.0,83.0,81.0,83.2,70.0,73.0,74.2
2016-06-27,Italy,Spain,Europe,Europe,12,6,982,1266,2,0,UEFAEuro,Saint-Denis,France,True,No,Win,84.0,86.0,83.8,81.7,83.8,84.5,83.3,87.2
2016-06-30,Macau,Mongolia,Asia,Asia,196,203,41,4,2,2,EAFFChampionship,Dededo,Guam,True,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-30,Poland,Portugal,Europe,Europe,27,8,842,1181,1,1,UEFAEuro,Marseille,France,True,Yes,Lose,79.0,81.0,78.2,79.0,79.0,81.2,84.7,81.8
2016-07-01,Wales,Belgium,Europe,Europe,26,2,846,1383,3,1,UEFAEuro,"Villeneuve-dAscq",France,True,No,Win,73.0,86.0,76.5,75.0,76.2,82.0,81.3,84.8
2016-07-02,Germany,Italy,Europe,Europe,4,12,1310,982,1,1,UEFAEuro,Bordeaux,France,True,Yes,Win,90.0,84.0,84.8,81.7,86.8,83.8,81.7,83.8
2016-07-02,Mongolia,ChineseTaipei,Asia,Asia,203,191,4,56,0,2,EAFFChampionship,Dededo,Guam,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-07-03,France,Iceland,Europe,Europe,17,34,924,751,5,2,UEFAEuro,Saint-Denis,France,False,No,Win,85.0,65.0,82.8,84.3,85.0,70.0,73.0,74.2
2016-07-06,Portugal,Wales,Europe,Europe,8,26,1181,846,2,0,UEFAEuro,Lyon,France,True,No,Win,81.0,73.0,81.2,84.7,81.8,76.5,75.0,76.2
2016-07-07,France,Germany,Europe,Europe,17,4,924,1310,2,0,UEFAEuro,Marseille,France,False,No,Win,85.0,90.0,82.8,84.3,85.0,84.8,81.7,86.8
2016-07-10,France,Portugal,Europe,Europe,17,8,924,1181,0,1,UEFAEuro,Saint-Denis,France,False,No,Lose,85.0,81.0,82.8,84.3,85.0,81.2,84.7,81.8
2016-07-24,Uzbekistan,Iraq,Asia,Asia,56,99,568,354,2,1,Friendly,Tashkent,Uzbekistan,False,No,Win,nan,nan,nan,nan,nan,nan,64.0,67.5
2016-07-28,Cambodia,Singapore,Asia,Asia,180,158,95,174,2,1,Friendly,PhnomPenh,Cambodia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
2016-08-08,Oman,Turkmenistan,Asia,Asia,106,120,339,312,1,0,Friendly,Muscat,Oman,False,No,Win,71.0,nan,nan,nan,nan,nan,nan,nan
2016-08-08,Qatar,Iraq,Asia,Asia,79,99,424,354,2,1,Friendly,Doha,Qatar,False,No,Win,nan,nan,nan,nan,nan,nan,64.0,67.5
2016-08-13,Bhutan,India,Asia,Asia,192,152,63,199,0,3,Friendly,Thimphu,Bhutan,False,No,Lose,nan,65.0,nan,nan,nan,57.8,61.0,57.5
2016-08-18,Jordan,Qatar,Asia,Asia,79,80,436,424,2,3,Friendly,Lucerne,Switzerland,True,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
2016-08-21,Iraq,KoreaDPR,Asia,Asia,113,99,336,354,1,1,Friendly,Paroi,Malaysia,True,No,Draw,nan,nan,nan,64.0,67.5,nan,nan,nan
