Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
7806,9733,17539,18323,20094,38417,15558,13158,28716,7656,11422,19078,3232,4862,8094,153,313,466,Rimini
217192,245383,462575,367689,412493,780182,257687,251145,508832,119011,183733,302744,56484,73946,130430,3212,6609,9821,Roma
2996,3556,6552,6494,6275,12769,4739,4674,9413,2410,4236,6646,829,1208,2037,41,108,149,Rovigo
12295,14533,26828,19450,20727,40177,13793,12616,26409,6972,11327,18299,3018,4452,7470,348,846,1194,Salerno
6840,9072,15912,12592,14017,26609,12418,11636,24054,6453,8554,15007,2291,3250,5541,232,429,661,Sassari
3470,4376,7846,8805,9231,18036,7872,7937,15809,4012,6665,10677,1341,1680,3021,102,149,251,Savona
4292,5215,9507,6411,6899,13310,4017,3898,7915,2825,5007,7832,898,1391,2289,48,105,153,Siena
5441,6233,11674,15713,15975,31688,12904,12277,25181,6612,9436,16048,2957,3645,6602,497,562,1059,Siracusa
1338,1618,2956,3069,3494,6563,2325,2235,4560,1231,1966,3197,458,496,954,20,43,63,Sondrio
9084,10934,20018,26690,26645,53335,26828,23395,50223,12796,20469,33265,4951,7801,12752,744,1568,2312,Taranto
3283,3819,7102,6199,6266,12465,3851,3544,7395,1931,3051,4982,894,1286,2180,69,163,232,Teramo
5834,7616,13450,16580,16209,32789,11865,11218,23083,6214,10503,16717,2312,3617,5929,132,240,372,Terni
61322,67458,128780,125381,128881,254262,121448,122307,243755,55210,84037,139247,22810,29919,52729,2309,4507,6816,Torino
2381,2900,5281,8278,8493,16771,8542,7943,16485,4629,6500,11129,2057,2903,4960,447,473,920,Trapani
7355,8005,15360,12480,13841,26321,9402,10184,19586,4059,6488,10547,2052,1907,3959,98,183,281,Trento
7058,7369,14427,11903,12690,24593,9018,8878,17896,4232,8542,12774,1802,2163,3965,99,119,218,Treviso
12683,14701,27384,27445,29979,57424,29159,30851,60010,9707,15433,25140,3886,4360,8246,166,228,394,Trieste
8363,9540,17903,16247,16380,32627,11220,12066,23286,4869,9573,14442,2049,2408,4457,104,146,250,Udine
6142,6829,12971,11427,12146,23573,9718,9740,19458,4862,8018,12880,1897,2117,4014,177,236,413,Varese
5650,6218,11868,6894,7698,14592,5566,5819,11385,3216,5429,8645,1089,1400,2489,39,78,117,Venezia
2554,2995,5549,6898,7302,14200,6262,5868,12130,3372,5291,8663,1111,1387,2498,141,225,366,Vercelli
16670,18442,35112,34147,35624,69771,27866,26709,54575,12908,24205,37113,5023,6087,11110,280,407,687,Verona
1803,2230,4033,3279,3420,6699,1991,1690,3681,991,1309,2300,554,672,1226,91,213,304,Vibo Valentia
7841,8622,16463,16547,16974,33521,13571,13099,26670,6602,11979,18581,2733,3075,5808,150,179,329,Vicenza
3512,4354,7866,7398,7840,15238,5845,5361,11206,2809,4479,7288,1147,1732,2879,59,133,192,Viterbo
121,135,256,563,609,1172,650,568,1218,415,615,1030,231,284,515,73,83,156,Bisacquino
386,540,926,1123,1174,2297,1396,1147,2543,549,655,1204,234,315,549,23,43,66,Elmas
35,79,114,173,186,359,417,341,758,207,234,441,80,119,199,2,8,10,Benetutti
14,15,29,76,77,153,214,174,388,79,95,174,59,98,157,5,14,19,Talana
152,260,412,754,668,1422,511,407,918,266,365,631,133,184,317,18,25,43,Campo Calabro
51,65,116,216,205,421,193,145,338,116,159,275,46,87,133,3,8,11,Offagna
72,90,162,430,437,867,428,389,817,277,458,735,55,83,138,1,8,9,Maleo
337,470,807,2000,1989,3989,2827,2363,5190,1692,1981,3673,717,936,1653,123,239,362,Orta Nova
9,8,17,32,43,75,39,25,64,21,29,50,4,7,11,0,0,0,Rivodutri
34,45,79,242,253,495,448,355,803,221,254,475,56,68,124,2,10,12,Primaluna
43,45,88,214,190,404,484,435,919,271,306,577,79,74,153,4,2,6,Premana
15,19,34,77,77,154,83,55,138,48,60,108,5,8,13,3,3,6,Castelmola
236,334,570,980,1090,2070,1329,1045,2374,983,1249,2232,228,331,559,18,25,43,Vaiano
20,39,59,87,78,165,206,154,360,94,108,202,36,47,83,5,6,11,Sadali
43,64,107,167,202,369,363,301,664,163,166,329,54,87,141,7,19,26,Lotzorai
122,139,261,398,427,825,528,423,951,226,352,578,105,84,189,5,8,13,Calco
384,474,858,2069,1975,4044,2610,2171,4781,1638,2026,3664,716,1110,1826,189,248,437,Porto Empedocle
92,128,220,473,507,980,787,732,1519,406,502,908,198,248,446,58,52,110,Catenanuova
107,151,258,547,560,1107,752,707,1459,441,555,996,297,472,769,116,150,266,Mirabella Imbaccari
67,71,138,226,251,477,213,191,404,118,156,274,35,76,111,6,15,21,Sant'Angelo di Brolo
37,51,88,164,160,324,174,133,307,90,147,237,25,50,75,2,5,7,Castel Viscardo
10,16,26,85,97,182,145,105,250,86,115,201,25,21,46,0,1,1,Erve
412,552,964,1917,1729,3646,2764,2231,4995,1120,1714,2834,576,797,1373,100,201,301,Brusciano
30,28,58,147,141,288,179,131,310,94,114,208,58,81,139,20,31,51,Cropalati
886,1269,2155,3934,4449,8383,5579,4295,9874,3286,4286,7572,1104,1463,2567,114,158,272,Campi Bisenzio
21,27,48,77,65,142,55,60,115,32,55,87,11,13,24,6,14,20,San Martino di Finita
6,9,15,29,30,59,62,47,109,19,33,52,7,12,19,1,1,2,Tinnura
18,23,41,36,47,83,118,61,179,60,95,155,11,19,30,2,2,4,Sini
43,51,94,141,133,274,177,142,319,94,140,234,37,48,85,4,10,14,Controguerra
3,10,13,68,56,124,58,44,102,28,71,99,8,6,14,1,1,2,Bieno
37,51,88,173,137,310,210,189,399,79,123,202,33,71,104,4,7,11,Colonnella
26,45,71,107,116,223,188,148,336,110,158,268,44,63,107,0,6,6,Pelago
674,711,1385,1568,1536,3104,1215,1028,2243,607,903,1510,276,451,727,61,247,308,Ariano Irpino
5,10,15,45,40,85,47,35,82,41,46,87,9,20,29,2,5,7,Lisciano Niccone
8,10,18,28,29,57,21,27,48,19,26,45,5,15,20,0,0,0,Giano dell'Umbria
728,882,1610,2439,2318,4757,2284,2094,4378,1323,1657,2980,543,773,1316,71,118,189,Valenzano
24,25,49,78,84,162,84,53,137,51,70,121,22,19,41,2,2,4,Monte Castello di Vibio
6,6,12,25,21,46,38,24,62,52,61,113,4,2,6,2,0,2,Bannio Anzino
7,21,28,72,63,135,62,49,111,35,69,104,15,7,22,0,1,1,Pinzano al Tagliamento
39,59,98,209,243,452,302,243,545,155,224,379,55,53,108,1,3,4,Magherno
266,357,623,982,1058,2040,1043,821,1864,582,762,1344,215,289,504,14,15,29,Luni
81,101,182,335,349,684,501,371,872,198,272,470,189,211,400,31,62,93,Scandale
79,115,194,382,413,795,502,376,878,246,311,557,86,93,179,13,12,25,Predappio
7,19,26,31,30,61,31,21,52,20,30,50,3,6,9,1,0,1,Montescano
19,16,35,78,64,142,51,46,97,27,42,69,11,9,20,0,0,0,San Leonardo
28,48,76,258,242,500,373,331,704,162,240,402,60,101,161,4,12,16,Poli
8,15,23,46,48,94,44,29,73,38,52,90,5,24,29,2,5,7,Arnara
3,2,5,19,20,39,14,22,36,17,15,32,4,9,13,0,1,1,Vallo di Nera
43,33,76,162,138,300,210,170,380,90,117,207,43,43,86,5,2,7,Candiana
1060,1253,2313,2838,2814,5652,2512,2404,4916,1290,2093,3383,429,621,1050,31,40,71,Abano Terme
226,282,508,1305,1129,2434,1254,1190,2444,641,993,1634,256,257,513,13,17,30,Piovene Rocchette
15,7,22,39,32,71,27,30,57,33,45,78,8,11,19,0,0,0,San Pietro in Cerro
14,27,41,100,95,195,101,73,174,73,99,172,11,21,32,1,1,2,Nosate
22,17,39,82,78,160,100,84,184,77,86,163,13,28,41,1,11,12,Selci
70,80,150,292,311,603,354,301,655,163,273,436,62,69,131,1,2,3,Canale Monterano
2,4,6,24,20,44,32,21,53,16,18,34,4,3,7,0,1,1,Bolognola
40,83,123,134,140,274,148,106,254,51,80,131,31,35,66,3,11,14,Figline Vegliaturo
5,11,16,26,25,51,24,17,41,17,18,35,9,14,23,0,0,0,Ripe San Ginesio
249,327,576,757,911,1668,878,794,1672,464,804,1268,132,238,370,11,19,30,Orbetello
166,169,335,439,437,876,472,438,910,226,314,540,93,108,201,1,3,4,Pove del Grappa
38,54,92,116,136,252,113,121,234,72,219,291,15,25,40,4,1,5,Mezzane di Sotto
17,22,39,73,52,125,54,41,95,31,44,75,10,20,30,1,0,1,Badia Tedalda
336,356,692,926,910,1836,806,723,1529,492,815,1307,147,222,369,1,6,7,Silea
132,216,348,568,492,1060,460,367,827,245,387,632,91,90,181,2,1,3,Pedavena
16,15,31,46,55,101,83,53,136,58,77,135,9,18,27,1,2,3,Ottiglio
122,151,273,565,571,1136,797,627,1424,407,541,948,131,151,282,11,17,28,Vailate
63,92,155,377,369,746,443,433,876,233,338,571,81,107,188,6,4,10,Piscina
30,43,73,141,151,292,215,150,365,95,170,265,33,44,77,1,3,4,Camisano
15,12,27,64,64,128,69,40,109,39,49,88,7,8,15,0,0,0,Andrate
257,356,613,1060,1035,2095,1115,860,1975,523,728,1251,170,192,362,13,16,29,Pregnana Milanese
56,74,130,255,241,496,305,214,519,158,239,397,61,61,122,8,8,16,Mercallo
52,66,118,254,248,502,310,300,610,225,323,548,56,42,98,2,7,9,Lezzeno
164,228,392,891,923,1814,1115,1061,2176,527,692,1219,215,268,483,12,36,48,Beinasco
204,290,494,735,892,1627,1609,1276,2885,899,908,1807,337,387,724,58,75,133,Siniscola
602,802,1404,2479,2301,4780,2740,2591,5331,1333,1789,3122,472,577,1049,31,64,95,Alpignano
205,240,445,1052,1035,2087,1705,1552,3257,965,1263,2228,495,577,1072,132,111,243,Terrasini
24,29,53,140,141,281,242,227,469,139,195,334,57,79,136,11,15,26,Pettineo
47,55,102,288,247,535,475,423,898,306,394,700,102,162,264,48,42,90,Bolognetta
35,83,118,264,280,544,600,520,1120,299,282,581,109,179,288,25,39,64,Fluminimaggiore
24,33,57,188,158,346,127,133,260,84,158,242,32,24,56,2,1,3,Pieve di Bono-Prezzo
5,11,16,25,40,65,71,44,115,32,37,69,10,11,21,0,1,1,San Bernardino Verbano
52,66,118,204,219,423,281,210,491,172,242,414,42,47,89,5,9,14,Lessona
30,51,81,196,212,408,265,190,455,125,213,338,33,43,76,6,3,9,Lessolo
162,233,395,927,934,1861,1012,840,1852,444,689,1133,183,238,421,11,19,30,Palombara Sabina
73,101,174,238,206,444,177,168,345,118,158,276,65,73,138,10,10,20,Frosolone
130,164,294,404,380,784,338,254,592,222,342,564,64,121,185,2,5,7,Sirolo
131,131,262,298,273,571,242,236,478,159,219,378,92,114,206,9,34,43,San Marco dei Cavoti
2,7,9,18,16,34,11,8,19,10,17,27,5,6,11,0,0,0,Genga
7,20,27,45,59,104,60,49,109,61,82,143,11,19,30,0,3,3,Bessude
25,47,72,157,160,317,274,194,468,112,150,262,54,77,131,10,7,17,Aritzo
209,283,492,703,731,1434,613,470,1083,322,453,775,153,208,361,8,35,43,Atessa
71,56,127,196,216,412,295,282,577,122,173,295,33,66,99,1,6,7,Rocca San Casciano
75,99,174,723,698,1421,650,609,1259,387,560,947,84,97,181,4,4,8,Grosio
175,217,392,759,667,1426,792,635,1427,380,549,929,156,209,365,5,9,14,Piombino Dese
22,37,59,125,119,244,140,112,252,67,121,188,21,18,39,0,0,0,Settimo Vittone
2380,2740,5120,5555,5945,11500,4142,4174,8316,2031,3213,5244,868,917,1785,40,67,107,Rovereto
70,71,141,313,288,601,370,327,697,149,221,370,60,80,140,1,4,5,Castel Sant'Elia
116,158,274,454,470,924,537,399,936,388,396,784,176,313,489,11,64,75,Deliceto
14,18,32,55,60,115,64,56,120,20,41,61,14,11,25,0,1,1,Pelugo
37,56,93,218,167,385,295,253,548,188,216,404,122,145,267,25,63,88,Forenza
52,45,97,241,196,437,206,145,351,113,205,318,52,113,165,20,44,64,Rotondella
18,19,37,84,94,178,135,98,233,104,133,237,26,21,47,1,8,9,Motta de' Conti
31,35,66,123,132,255,109,79,188,83,103,186,28,16,44,0,1,1,Giovo
6,10,16,50,33,83,48,42,90,26,39,65,6,8,14,0,1,1,Carentino
8,15,23,23,42,65,49,28,77,30,28,58,2,4,6,1,0,1,Molini di Triora
80,109,189,284,333,617,269,248,517,163,244,407,43,57,100,10,4,14,Moneglia
3479,4194,7673,8760,8627,17387,7040,6345,13385,3417,6178,9595,1645,2344,3989,205,467,672,Portici
37,28,65,113,105,218,143,112,255,99,102,201,76,108,184,12,56,68,Castelcivita
685,987,1672,2193,2203,4396,2570,2217,4787,1454,1966,3420,531,693,1224,48,66,114,Colle di Val d'Elsa
589,697,1286,1775,1933,3708,1580,1496,3076,782,1147,1929,364,340,704,36,38,74,Pergine Valsugana
2045,2297,4342,6812,6748,13560,8952,7020,15972,4933,6399,11332,1964,2749,4713,345,500,845,Trani
