Settore,Numero_Aziende,Addetti,Percentuale_Totale,Comune
Industrie,906,Addetti,0.4570999999999999,Pavia
Servizi,1761,Addetti,0.4932,Pavia
Amministrazione,495,Addetti,1.5168,Pavia
Altro,3014,Addetti,1.1143,Pavia
Industrie,2000,Addetti,0.9216,Perugia
Servizi,3099,Addetti,0.9632,Perugia
Amministrazione,822,Addetti,1.1605,Perugia
Altro,5163,Addetti,1.7292999999999998,Perugia
Industrie,1591,Addetti,0.5689,Pescara
Servizi,3341,Addetti,0.7389,Pescara
Amministrazione,858,Addetti,1.31,Pescara
Altro,4895,Addetti,1.7631,Pescara
Industrie,2145,Addetti,1.1666,Piacenza
Servizi,3139,Addetti,0.8789999999999999,Piacenza
Amministrazione,676,Addetti,1.2238,Piacenza
Altro,3979,Addetti,1.473,Piacenza
Industrie,1252,Addetti,0.7662,Pisa
Servizi,2473,Addetti,0.4865,Pisa
Amministrazione,907,Addetti,1.7014,Pisa
Altro,3732,Addetti,1.2539,Pisa
Industrie,2056,Addetti,0.8815,Pistoia
Servizi,2095,Addetti,0.5434,Pistoia
Amministrazione,714,Addetti,0.7259,Pistoia
Altro,2656,Addetti,1.2625,Pistoia
Industrie,719,Addetti,0.6033000000000001,Pordenone
Servizi,1409,Addetti,0.4535999999999999,Pordenone
Amministrazione,401,Addetti,0.5504,Pordenone
Altro,2218,Addetti,0.759,Pordenone
Industrie,1106,Addetti,0.444,Potenza
Servizi,1902,Addetti,0.3332,Potenza
Amministrazione,532,Addetti,0.8951,Potenza
Altro,2053,Addetti,0.7386999999999999,Potenza
Industrie,8002,Addetti,3.0593,Prato
Servizi,4810,Addetti,1.0511,Prato
Amministrazione,1072,Addetti,1.0321,Prato
Altro,5292,Addetti,1.9295,Prato
Industrie,1384,Addetti,0.6233,Ragusa
Servizi,1882,Addetti,0.415,Ragusa
Amministrazione,417,Addetti,0.8381000000000001,Ragusa
Altro,1407,Addetti,0.4338,Ragusa
Industrie,826,Addetti,1.4852,Ravenna
Servizi,2724,Addetti,0.9877,Ravenna
Amministrazione,735,Addetti,0.883,Ravenna
Altro,4798,Addetti,1.986,Ravenna
Industrie,784,Addetti,0.3908999999999999,Rieti
Servizi,1168,Addetti,0.2703,Rieti
Amministrazione,250,Addetti,0.5122,Rieti
Altro,1362,Addetti,0.4977,Rieti
Industrie,2537,Addetti,0.952,Rimini
Servizi,4846,Addetti,1.3998,Rimini
Amministrazione,631,Addetti,1.0473,Rimini
Altro,6569,Addetti,3.0011,Rimini
Industrie,26414,Addetti,14.5653,Roma
Servizi,62043,Addetti,15.3773,Roma
Amministrazione,9010,Addetti,25.9649,Roma
Altro,90395,Addetti,40.9099,Roma
Industrie,659,Addetti,0.5123,Rovigo
Servizi,1282,Addetti,0.3621999999999999,Rovigo
Amministrazione,376,Addetti,0.6328,Rovigo
Altro,1929,Addetti,0.5527,Rovigo
Industrie,2168,Addetti,0.5738000000000001,Salerno
Servizi,4872,Addetti,0.967,Salerno
Amministrazione,813,Addetti,1.2408,Salerno
Altro,5139,Addetti,1.5751,Salerno
Industrie,2152,Addetti,0.8003,Sassari
Servizi,3421,Addetti,0.9271,Sassari
Amministrazione,552,Addetti,0.9866,Sassari
Altro,3546,Addetti,1.2444000000000002,Sassari
Industrie,1005,Addetti,0.374,Savona
Servizi,1812,Addetti,0.4748,Savona
Amministrazione,625,Addetti,0.7799,Savona
Altro,2442,Addetti,0.9116,Savona
Industrie,814,Addetti,0.5198,Siena
Servizi,1504,Addetti,0.391,Siena
Amministrazione,444,Addetti,0.9696,Siena
Altro,2184,Addetti,1.0878,Siena
Industrie,720,Addetti,0.3685,Siracusa
Servizi,2305,Addetti,0.5122,Siracusa
Amministrazione,532,Addetti,0.9029,Siracusa
Altro,2379,Addetti,0.8561,Siracusa
Industrie,505,Addetti,0.2312,Sondrio
Servizi,748,Addetti,0.1967,Sondrio
Amministrazione,301,Addetti,0.3993,Sondrio
Altro,933,Addetti,0.377,Sondrio
Industrie,1916,Addetti,2.3695,Taranto
Servizi,4032,Addetti,0.9452,Taranto
Amministrazione,772,Addetti,1.5199,Taranto
Altro,3744,Addetti,1.3163,Taranto
Industrie,611,Addetti,0.3937,Teramo
Servizi,936,Addetti,0.1749,Teramo
Amministrazione,307,Addetti,0.5276,Teramo
Altro,1555,Addetti,0.4906,Teramo
Industrie,1659,Addetti,1.267,Terni
Servizi,2924,Addetti,0.7548,Terni
Amministrazione,717,Addetti,1.3885,Terni
Altro,2557,Addetti,0.9687,Terni
Industrie,6290,Addetti,7.6298,Torino
Servizi,25961,Addetti,6.3299,Torino
Amministrazione,3676,Addetti,7.2045,Torino
Altro,39438,Addetti,13.1223,Torino
Industrie,213,Addetti,0.1196,Trapani
Servizi,1606,Addetti,0.3418,Trapani
Amministrazione,395,Addetti,0.8107,Trapani
Altro,2016,Addetti,0.5582,Trapani
Industrie,1644,Addetti,1.093,Trento
Servizi,2469,Addetti,0.938,Trento
Amministrazione,1270,Addetti,1.9698,Trento
Altro,3804,Addetti,1.5665,Trento
Industrie,1345,Addetti,0.7567999999999999,Treviso
Servizi,2468,Addetti,0.6529,Treviso
Amministrazione,590,Addetti,0.6947,Treviso
Altro,4325,Addetti,1.6234000000000002,Treviso
Industrie,2418,Addetti,1.1758,Trieste
Servizi,5088,Addetti,1.3662,Trieste
Amministrazione,1517,Addetti,2.3724,Trieste
Altro,6088,Addetti,2.7404,Trieste
Industrie,1506,Addetti,0.5487,Udine
Servizi,2826,Addetti,0.806,Udine
Amministrazione,1105,Addetti,1.2388,Udine
Altro,4654,Addetti,1.6210999999999998,Udine
Industrie,1712,Addetti,1.0693,Varese
Servizi,2217,Addetti,0.9471,Varese
Amministrazione,387,Addetti,0.4755,Varese
Altro,3561,Addetti,1.5166,Varese
Industrie,4461,Addetti,3.0457,Venezia
Servizi,6544,Addetti,2.3998,Venezia
Amministrazione,1966,Addetti,2.8664,Venezia
Altro,8416,Addetti,4.1497,Venezia
Industrie,812,Addetti,0.4947,Vercelli
Servizi,1256,Addetti,0.4487,Vercelli
Amministrazione,495,Addetti,0.6766,Vercelli
Altro,1475,Addetti,0.5558,Vercelli
Industrie,1178,Addetti,1.8901,Verona
Servizi,5951,Addetti,1.9953,Verona
Amministrazione,1198,Addetti,2.0148,Verona
Altro,11884,Addetti,4.2066,Verona
Industrie,578,Addetti,0.2435,Vibo Valentia
Servizi,984,Addetti,0.208,Vibo Valentia
Amministrazione,150,Addetti,0.6,Vibo Valentia
Altro,1102,Addetti,0.3473,Vibo Valentia
Industrie,1337,Addetti,1.1476000000000002,Vicenza
Servizi,2970,Addetti,0.9361,Vicenza
Amministrazione,584,Addetti,1.098,Vicenza
Altro,5104,Addetti,1.7742,Vicenza
Industrie,1024,Addetti,0.3811,Viterbo
Servizi,1771,Addetti,0.7267,Viterbo
Amministrazione,286,Addetti,0.5339,Viterbo
Altro,2064,Addetti,0.7007,Viterbo
Industrie,93,Addetti,19.2,Bisacquino
Servizi,131,Addetti,19.8,Bisacquino
Amministrazione,46,Addetti,49.2,Bisacquino
Altro,59,Addetti,17.6,Bisacquino
Industrie,228,Addetti,0.1714,Elmas
Servizi,247,Addetti,0.105,Elmas
Amministrazione,47,Addetti,59.6,Elmas
Altro,169,Addetti,0.1532,Elmas
Industrie,59,Addetti,17.7,Benetutti
Servizi,52,Addetti,7.9,Benetutti
Amministrazione,25,Addetti,9.8,Benetutti
Altro,38,Addetti,8.4,Benetutti
Industrie,10,Addetti,2.5,Talana
Servizi,14,Addetti,3.2,Talana
Amministrazione,6,Addetti,5.1,Talana
Altro,8,Addetti,2.5,Talana
